Shelter,SensorType,SensorCode,Plot,Sp,Position,Treatment
3,Temp,TSoil_Avg.7.,6,LUC,Upper,AmbDrt
3,Temp,TSoil_Avg.8.,6,FES,Upper,AmbDrt
4,Temp,TSoil_Avg.1.,3,LUC,Upper,EleCon
4,Temp,TSoil_Avg.2.,3,FES,Upper,EleCon
4,Temp,TSoil_Avg.3.,4,LUC,Upper,AmbDrt
4,Temp,TSoil_Avg.4.,4,FES,Upper,AmbDrt
4,Temp,TSoil_Avg.5.,5,FES,Upper,AmbCon
4,Temp,TSoil_Avg.6.,5,LUC,Upper,AmbCon
4,Temp,TSoil_Avg.7.,6,FES,Upper,EleDrt
4,Temp,TSoil_Avg.8.,6,LUC,Upper,EleDrt
5,Temp,TSoil_Avg.1.,3,FES,Upper,EleCon
5,Temp,TSoil_Avg.2.,3,LUC,Upper,EleCon
5,Temp,TSoil_Avg.3.,4,FES,Upper,AmbDrt
5,Temp,TSoil_Avg.4.,4,LUC,Upper,AmbDrt
5,Temp,TSoil_Avg.5.,5,FES,Upper,EleDrt
5,Temp,TSoil_Avg.6.,5,LUC,Upper,EleDrt
5,Temp,TSoil_Avg.7.,6,LUC,Upper,AmbCon
5,Temp,TSoil_Avg.8.,6,FES,Upper,AmbCon
6,Temp,TSoil_Avg.1.,3,LUC,Upper,EleDrt
6,Temp,TSoil_Avg.2.,3,FES,Upper,EleDrt
6,Temp,TSoil_Avg.3.,4,FES,Upper,AmbCon
6,Temp,TSoil_Avg.4.,4,LUC,Upper,AmbCon
6,Temp,TSoil_Avg.5.,5,LUC,Upper,EleCon
6,Temp,TSoil_Avg.6.,5,FES,Upper,EleCon
6,Temp,TSoil_Avg.7.,6,FES,Upper,AmbDrt
6,Temp,TSoil_Avg.8.,6,LUC,Upper,AmbDrt
