Lab,Harvest,Date,PlotType,NoSp,Sp1,Sp2,SubplotID
PACE-Power,Aboveground harvest,Oct-19,PhaSub,2,Phalaris,Sub-clover,S4P6C
PACE-Power,Aboveground harvest,Oct-19,PhaSub,2,Phalaris,Sub-clover,S5P3D
PACE-Power,Aboveground harvest,Oct-19,PhaSub,2,Phalaris,Sub-clover,S5P4B
PACE-Power,Aboveground harvest,Oct-19,PhaSub,2,Phalaris,Sub-clover,S5P5C
PACE-Power,Aboveground harvest,Oct-19,PhaSub,2,Phalaris,Sub-clover,S5P6D
PACE-Power,Aboveground harvest,Oct-19,PhaSub,2,Phalaris,Sub-clover,S6P3C
PACE-Power,Aboveground harvest,Oct-19,PhaSub,2,Phalaris,Sub-clover,S6P4A
PACE-Power,Aboveground harvest,Oct-19,PhaSub,2,Phalaris,Sub-clover,S6P5B
PACE-Power,Aboveground harvest,Oct-19,PhaSub,2,Phalaris,Sub-clover,S6P6C
PACE-Power,Aboveground harvest,Oct-19,Rho,1,Rhodes,NA,S1P7C
PACE-Power,Aboveground harvest,Oct-19,Rho,1,Rhodes,NA,S1P8D
PACE-Power,Aboveground harvest,Oct-19,Rho,1,Rhodes,NA,S2P1C
PACE-Power,Aboveground harvest,Oct-19,Rho,1,Rhodes,NA,S2P2A
PACE-Power,Aboveground harvest,Oct-19,Rho,1,Rhodes,NA,S3P7A
PACE-Power,Aboveground harvest,Oct-19,Rho,1,Rhodes,NA,S3P8B
PACE-Power,Aboveground harvest,Oct-19,Rho,1,Rhodes,NA,S4P7D
PACE-Power,Aboveground harvest,Oct-19,Rho,1,Rhodes,NA,S4P8B
PACE-Power,Aboveground harvest,Oct-19,Rho,1,Rhodes,NA,S5P1A
PACE-Power,Aboveground harvest,Oct-19,Rho,1,Rhodes,NA,S5P2D
PACE-Power,Aboveground harvest,Oct-19,Rho,1,Rhodes,NA,S6P7A
PACE-Power,Aboveground harvest,Oct-19,Rho,1,Rhodes,NA,S6P8D
PACE-Power,Aboveground harvest,Oct-19,Rye,1,Ryegrass,NA,S1P1A
PACE-Power,Aboveground harvest,Oct-19,Rye,1,Ryegrass,NA,S1P2B
PACE-Power,Aboveground harvest,Oct-19,Rye,1,Ryegrass,NA,S2P7D
PACE-Power,Aboveground harvest,Oct-19,Rye,1,Ryegrass,NA,S2P8A
PACE-Power,Aboveground harvest,Oct-19,Rye,1,Ryegrass,NA,S3P1A
PACE-Power,Aboveground harvest,Oct-19,Rye,1,Ryegrass,NA,S3P2B
PACE-Power,Aboveground harvest,Oct-19,Rye,1,Ryegrass,NA,S4P1B
PACE-Power,Aboveground harvest,Oct-19,Rye,1,Ryegrass,NA,S4P2B
PACE-Power,Aboveground harvest,Oct-19,Rye,1,Ryegrass,NA,S5P7A
PACE-Power,Aboveground harvest,Oct-19,Rye,1,Ryegrass,NA,S5P8A
PACE-Power,Aboveground harvest,Oct-19,Rye,1,Ryegrass,NA,S6P1C
PACE-Power,Aboveground harvest,Oct-19,Rye,1,Ryegrass,NA,S6P2B
PACE-Power,Aboveground harvest,Oct-19,Wal,1,Wallaby,NA,S1P1B
PACE-Power,Aboveground harvest,Oct-19,Wal,1,Wallaby,NA,S1P2C
PACE-Power,Aboveground harvest,Oct-19,Wal,1,Wallaby,NA,S2P7B
PACE-Power,Aboveground harvest,Oct-19,Wal,1,Wallaby,NA,S2P8C
PACE-Power,Aboveground harvest,Oct-19,Wal,1,Wallaby,NA,S3P1B
PACE-Power,Aboveground harvest,Oct-19,Wal,1,Wallaby,NA,S3P2D
PACE-Power,Aboveground harvest,Oct-19,Wal,1,Wallaby,NA,S4P1C
PACE-Power,Aboveground harvest,Oct-19,Wal,1,Wallaby,NA,S4P2D
PACE-Power,Aboveground harvest,Oct-19,Wal,1,Wallaby,NA,S5P7D
PACE-Power,Aboveground harvest,Oct-19,Wal,1,Wallaby,NA,S5P8B
PACE-Power,Aboveground harvest,Oct-19,Wal,1,Wallaby,NA,S6P1D
PACE-Power,Aboveground harvest,Oct-19,Wal,1,Wallaby,NA,S6P2D
