Shelter,Plot,Subplot,Subplot ID,Species,Moisture 1,Moisture 2,Moisture 3,Moisture 4,Moisture 5,Comment 
5,2,D,S5P2,RHO,9,10.3,10.7,8.6,7.4,
6,7,A,S6P7,RHO,8.2,13.1,11.8,5.4,8.3,
6,8,D,S6P8,RHO,11.1,7.6,10.4,10.1,9.7,
1,1,A,S1P1,RYE,15.3,11,10.5,9.4,10.7,12:50
1,2,B,S1P2,RYE,12.4,12,10.4,11.7,14.2,
2,7,D,S2P7,RYE,11.8,9.3,10.8,12.6,8.8,
2,8,A,S2P8,RYE,13.2,10.9,9.1,9.6,NA,
3,1,A,S3P1,RYE,NA,12.2,16.8,12.9,8.9,3:15
3,2,B,S3P2,RYE,11.9,11.1,9.8,9.1,6.3,
4,1,B,S4P1,RYE,10.7,9.6,10.3,8.5,12.8,
4,2,B,S4P2,RYE,11.1,8.7,9.7,11.6,10.5,
5,7,A,S5P7,RYE,13,12.4,13.3,9.1,NA,
5,8,A,S5P8,RYE,11.9,11.9,12.7,14.5,13.3,
6,1,C,S6P1,RYE,NA,11.7,10.6,9.2,14.3,
6,2,B,S6P2,RYE,11.6,12.3,14.6,10.6,11.3,
1,1,B,S1P1,WAL,14.3,14.2,17.1,10.1,11.7,
1,2,C,S1P2,WAL,17,14.2,15.2,13.9,18.9,
2,7,B,S2P7,WAL,11.8,11.6,11.4,13.4,14.5,
2,8,C,S2P8,WAL,9.7,11.3,11.4,13.5,12.7,
3,1,B,S3P1,WAL,14.7,NA,15,11.2,13.7,
3,2,D,S3P2,WAL,9.5,10.8,13.5,9.1,12.5,
4,1,C,S4P1,WAL,11.4,10.6,12.8,7.9,18.1,
4,2,D,S4P2,WAL,12.9,11.9,NA,11.4,14.5,
5,7,D,S5P7,WAL,12.4,9.8,14.7,14.4,13.7,
5,8,B,S5P8,WAL,10.3,11.1,10.8,13,14.9,
6,1,D,S6P1,WAL,16.5,16.6,NA,14.2,16.8,
6,2,D,S6P2,WAL,17.1,14.9,11.4,15.9,11.5,
